Temperature,Revenue,Population,Profit,Score
22.5,50000,120000,8000,75
25.1,62000,135000,9500,82
19.8,45000,98000,,68
23.4,,110000,7200,71
120.0,58000,105000,8900,79
28.7,71000,142000,11000,85
21.2,39000,89000,5300,64
24.0,52000,115000,7900,73
22.5,50000,120000,8000,75
26.3,64000,128000,9800,80
-40.0,49000,102000,6900,69
23.9,53000,118000,8100,74
27.5,60000,3000000,10200,83
20.6,41000,91000,5600,66
25.8,77000,150000,-500,88
22.5,50000,120000,8000,75
24.7,68000,138000,10500,81
29.1,92000,160000,12500,90
18.3,,87000,4800,62
26.0,55000,125000,8600,77
